p,n,power
118,264,0.0
118,266,0.0
118,268,0.0
118,270,0.0
118,272,0.0
118,274,0.0
118,276,0.0
118,278,0.0
118,280,0.0
118,282,0.0
118,284,0.0
118,286,0.0
118,288,0.005
118,290,0.02
118,292,0.02
118,294,0.055
118,296,0.18
118,298,0.47
118,300,0.62
118,302,0.825
118,304,0.925
118,306,0.975
118,308,1.0
118,310,1.0
118,312,1.0
118,314,1.0
118,316,1.0
118,318,1.0
118,320,1.0
118,322,1.0
118,324,1.0
118,326,1.0
118,328,1.0
118,330,1.0
119,240,0.0
119,242,0.0
119,244,0.0
119,246,0.0
119,248,0.0
119,250,0.0
119,252,0.0
119,254,0.0
119,256,0.0
119,258,0.0
119,260,0.0
119,262,0.0
119,264,0.0
119,266,0.0
119,268,0.0
119,270,0.0
119,272,0.0
119,274,0.0
119,276,0.0
119,278,0.0
119,280,0.0
119,282,0.0
119,284,0.0
119,286,0.0
119,288,0.0
119,290,0.0
119,292,0.0
119,294,0.025
119,296,0.085
119,298,0.18
119,300,0.425
119,302,0.66
119,304,0.815
119,306,0.965
119,308,0.99
119,310,1.0
119,312,1.0
119,314,1.0
119,316,1.0
119,318,1.0
119,320,1.0
119,322,1.0
119,324,1.0
119,326,1.0
119,328,1.0
119,330,1.0
120,240,0.0
120,242,0.0
120,244,0.0
120,246,0.0
120,248,0.0
120,250,0.0
120,252,0.0
120,254,0.0
120,256,0.0
120,258,0.0
120,260,0.0
120,262,0.0
120,264,0.0
120,266,0.0
120,268,0.0
120,270,0.0
120,272,0.0
120,274,0.0
120,276,0.0
120,278,0.0
120,280,0.0
120,282,0.0
120,284,0.0
120,286,0.0
120,288,0.0
120,290,0.0
120,292,0.005
120,294,0.01
120,296,0.015
120,298,0.05
120,300,0.125
120,302,0.415
120,304,0.55
120,306,0.78
120,308,0.93
120,310,0.99
120,312,0.995
120,314,0.995
120,316,1.0
120,318,1.0
120,320,1.0
120,322,1.0
120,324,1.0
120,326,1.0
120,328,1.0
120,330,1.0
121,240,0.0
121,242,0.0
121,244,0.0
121,246,0.0
121,248,0.0
121,250,0.0
121,252,0.0
121,254,0.0
121,256,0.0
121,258,0.0
121,260,0.0
121,262,0.0
121,264,0.0
121,266,0.0
121,268,0.0
121,270,0.0
121,272,0.0
121,274,0.0
121,276,0.0
121,278,0.0
121,280,0.0
121,282,0.0
121,284,0.0
121,286,0.0
121,288,0.0
121,290,0.0
121,292,0.0
121,294,0.0
121,296,0.005
121,298,0.025
121,300,0.065
121,302,0.18
121,304,0.32
121,306,0.525
121,308,0.78
121,310,0.915
121,312,0.98
121,314,1.0
121,316,0.995
121,318,1.0
121,320,1.0
121,322,1.0
121,324,1.0
121,326,1.0
121,328,1.0
121,330,1.0
122,240,0.0
122,242,0.0
122,244,0.0
122,246,0.0
122,248,0.0
122,250,0.0
122,252,0.0
122,254,0.0
122,256,0.0
122,258,0.0
122,260,0.0
122,262,0.0
122,264,0.0
122,266,0.0
122,268,0.0
122,270,0.0
122,272,0.0
122,274,0.0
122,276,0.0
122,278,0.0
122,280,0.0
122,282,0.0
122,284,0.0
122,286,0.0
122,288,0.0
122,290,0.0
122,292,0.0
122,294,0.0
122,296,0.0
122,298,0.0
122,300,0.01
122,302,0.035
122,304,0.095
122,306,0.285
122,308,0.515
122,310,0.73
122,312,0.92
122,314,0.965
122,316,1.0
122,318,1.0
122,320,1.0
122,322,1.0
122,324,1.0
122,326,1.0
122,328,1.0
122,330,1.0
123,240,0.0
123,242,0.0
123,244,0.0
123,246,0.0
123,248,0.0
123,250,0.0
123,252,0.0
123,254,0.0
123,256,0.0
123,258,0.0
123,260,0.0
123,262,0.0
123,264,0.0
123,266,0.0
123,268,0.0
123,270,0.0
123,272,0.0
123,274,0.0
123,276,0.0
123,278,0.0
123,280,0.0
123,282,0.0
123,284,0.0
123,286,0.0
123,288,0.0
123,290,0.0
123,292,0.0
123,294,0.0
123,296,0.0
123,298,0.0
123,300,0.01
123,302,0.01
123,304,0.035
123,306,0.155
123,308,0.245
123,310,0.435
123,312,0.695
123,314,0.905
123,316,0.945
123,318,1.0
123,320,1.0
123,322,1.0
123,324,1.0
123,326,1.0
123,328,1.0
123,330,1.0
124,240,0.0
124,242,0.0
124,244,0.0
124,246,0.0
124,248,0.0
124,250,0.0
124,252,0.0
124,254,0.0
124,256,0.0
124,258,0.0
124,260,0.0
124,262,0.0
124,264,0.0
124,266,0.0
124,268,0.0
124,270,0.0
124,272,0.0
124,274,0.0
124,276,0.0
124,278,0.0
124,280,0.0
124,282,0.0
124,284,0.0
124,286,0.0
124,288,0.0
124,290,0.0
124,292,0.0
124,294,0.0
124,296,0.0
124,298,0.0
124,300,0.0
124,302,0.0
124,304,0.01
124,306,0.04
124,308,0.03
124,310,0.17
124,312,0.425
124,314,0.6
124,316,0.885
124,318,0.96
124,320,0.99
124,322,1.0
124,324,1.0
124,326,1.0
124,328,1.0
124,330,1.0
125,240,0.0
125,242,0.0
125,244,0.0
125,246,0.0
125,248,0.0
125,250,0.0
125,252,0.0
125,254,0.0
125,256,0.0
125,258,0.0
125,260,0.0
125,262,0.0
125,264,0.0
125,266,0.0
125,268,0.0
125,270,0.0
125,272,0.0
125,274,0.0
125,276,0.0
125,278,0.0
125,280,0.0
125,282,0.0
125,284,0.0
125,286,0.0
125,288,0.0
125,290,0.0
125,292,0.0
125,294,0.0
125,296,0.0
125,298,0.0
125,300,0.0
125,302,0.0
125,304,0.0
125,306,0.005
125,308,0.01
125,310,0.12
125,312,0.135
125,314,0.465
125,316,0.59
125,318,0.84
125,320,0.935
125,322,0.975
125,324,1.0
125,326,1.0
125,328,1.0
125,330,1.0
126,240,0.0
126,242,0.0
126,244,0.0
126,246,0.0
126,248,0.0
126,250,0.0
126,252,0.0
126,254,0.0
126,256,0.0
126,258,0.0
126,260,0.0
126,262,0.0
126,264,0.0
126,266,0.0
126,268,0.0
126,270,0.0
126,272,0.0
126,274,0.0
126,276,0.0
126,278,0.0
126,280,0.0
126,282,0.0
126,284,0.0
126,286,0.0
126,288,0.0
126,290,0.0
126,292,0.0
126,294,0.0
126,296,0.0
126,298,0.0
126,300,0.0
126,302,0.0
126,304,0.005
126,306,0.0
126,308,0.0
126,310,0.02
126,312,0.09
126,314,0.22
126,316,0.31
126,318,0.625
126,320,0.785
126,322,0.895
126,324,0.96
126,326,0.995
126,328,1.0
126,330,1.0
127,240,0.0
127,242,0.0
127,244,0.0
127,246,0.0
127,248,0.0
127,250,0.0
127,252,0.0
127,254,0.0
127,256,0.0
127,258,0.0
127,260,0.0
127,262,0.0
127,264,0.0
127,266,0.0
127,268,0.0
127,270,0.0
127,272,0.0
127,274,0.0
127,276,0.0
127,278,0.0
127,280,0.0
127,282,0.0
127,284,0.0
127,286,0.0
127,288,0.0
127,290,0.0
127,292,0.0
127,294,0.0
127,296,0.0
127,298,0.0
127,300,0.0
127,302,0.0
127,304,0.0
127,306,0.0
127,308,0.0
127,310,0.0
127,312,0.005
127,314,0.02
127,316,0.16
127,318,0.32
127,320,0.53
127,322,0.74
127,324,0.91
127,326,0.945
127,328,0.995
127,330,1.0
128,240,0.0
128,242,0.0
128,244,0.0
128,246,0.0
128,248,0.0
128,250,0.0
128,252,0.0
128,254,0.0
128,256,0.0
128,258,0.0
128,260,0.0
128,262,0.0
128,264,0.0
128,266,0.0
128,268,0.0
128,270,0.0
128,272,0.0
128,274,0.0
128,276,0.0
128,278,0.0
128,280,0.0
128,282,0.0
128,284,0.0
128,286,0.0
128,288,0.0
128,290,0.0
128,292,0.0
128,294,0.0
128,296,0.0
128,298,0.0
128,300,0.0
128,302,0.0
128,304,0.0
128,306,0.0
128,308,0.0
128,310,0.0
128,312,0.0
128,314,0.015
128,316,0.045
128,318,0.16
128,320,0.275
128,322,0.535
128,324,0.775
128,326,0.885
128,328,0.96
128,330,0.99
129,240,0.0
129,242,0.0
129,244,0.0
129,246,0.0
129,248,0.0
129,250,0.0
129,252,0.0
129,254,0.0
129,256,0.0
129,258,0.0
129,260,0.0
129,262,0.0
129,264,0.0
129,266,0.0
129,268,0.0
129,270,0.0
129,272,0.0
129,274,0.0
129,276,0.0
129,278,0.0
129,280,0.0
129,282,0.0
129,284,0.0
129,286,0.0
129,288,0.0
129,290,0.0
129,292,0.0
129,294,0.0
129,296,0.0
129,298,0.0
129,300,0.0
129,302,0.0
129,304,0.0
129,306,0.0
129,308,0.0
129,310,0.0
129,312,0.0
129,314,0.0
129,316,0.02
129,318,0.045
129,320,0.115
129,322,0.225
129,324,0.5
129,326,0.725
129,328,0.88
129,330,0.98
130,240,0.0
130,242,0.0
130,244,0.0
130,246,0.0
130,248,0.0
130,250,0.0
130,252,0.0
130,254,0.0
130,256,0.0
130,258,0.0
130,260,0.0
130,262,0.0
130,264,0.0
130,266,0.0
130,268,0.0
130,270,0.0
130,272,0.0
130,274,0.0
130,276,0.0
130,278,0.0
130,280,0.0
130,282,0.0
130,284,0.0
130,286,0.0
130,288,0.0
130,290,0.0
130,292,0.0
130,294,0.0
130,296,0.0
130,298,0.0
130,300,0.0
130,302,0.0
130,304,0.0
130,306,0.0
130,308,0.0
130,310,0.0
130,312,0.0
130,314,0.0
130,316,0.0
130,318,0.01
130,320,0.015
130,322,0.055
130,324,0.25
130,326,0.44
130,328,0.6
130,330,0.845
